Column1;Column2;Column3
Sergio Aguero;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTPstkuDtOzTtdx-DNwegWmcY7BrJUDebfJYytdbXP4lT4cBbfd7gn3WQ6_w&s
Carlos Bacca;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5NyruHNmHqyFSBGp4fYJPn3T4tfI0L51Xj9GXyXXLyCEUFnYPY-YeKq37caA&s
Carlos Bacca;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3IefMbS1EZdzrj7ufSMNPOx9dvyxI4IzwqbwqsDjXyz42N68nTUY_0bMOUgw&s
Carlos Fernandez;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1_rfhgqkOTb4g1r_Azcv2sxHIwxNft-xcY1v2_DEH8bLWhlHocGUVl5c3DTo&s
Cedric Bakambu;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREHrgJGgpR0FvSrtNYvM3Kif2Aa4YJGlKIldehRJ0I-cbutsldYDBkuQr9pA&s
Chicharito;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE5E1aZqDC2FrQx23iC5t2K9JHUd9qbByL-sZEoXRGd34biuflWNpLXRWTyw&s
Chimy Avila;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfd5f9gsL7m0ZIRcWUFRp8TxHBBtIR41nT75NOGgjrF0a76vWp8McIYF_0Fw&s
Chris Wood;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZFkiBi57sKIYhInk7IVN_Xn0hPzSwdkSB1FxQFdisF5LEmg0xDtnA1bg8rZ8&s
Christian Benteke;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv2VN8i0brPtfkK2Toe9gPiu1FnTVpFHKq1Hz4TbElpgd0fnaXcWgJugX6sFs&s
Ciro Immobile;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTllhC2tfyauR4jUCOufr9wyjd6j3kAUmgjK8soBLCi1wUlU19vCNsbHEgkxnU&s
