Column1;Column2;Column3
Loren Moron;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL-GyVFx6kRMzS-AkISptFpHAx-2XCTlKAozxS7WkDlkexKfXFqAZwXe0qsg&s
Lorenzo Insigne;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlXyhwg3D6GeP_mw5beeRWQFQaHRTpuT8yZA6RahDLW9nItYrZZsnwuFh5YA&s
Lucas Ocampos;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqyQ1PBSdxdNacNijP8bvg63Sk7AoqKJjkheMlEX7uA_mdPUN5ACp3mIyQpw&s
Lucas Perez;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqp3tAOgHbrDoWa-P-HftayrBSsUklzBp9UEWvtwFv9ThlToN-5BeNClPhr74&s
Ludovic Ajorque;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhpqUlxs8LeYSonxDo4IOUW0290d0gFQyg6nqQ3im-UjScPPJveJkXC23NknA&s
Ludovic Blas;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_xAKNv40jb8cDzLFZxjKWH3iLOlquq5dl1HfGX3Cio0JQFi5pptljBPruLQ&s
Luis Alberto;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9-ilsLP4u4YhzuLsXXpGB8a_2dunvIb3MB7yu_eTYWzDLBmJTNkyLwjifHw&s
Luis Muriel;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUkFclsb2X9polghSjgSELTM6Ks_NNICU23gXv77u-XREWngqqqhfmaAVeuGQ&s
Luis Suarez;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7Aj2fSmyHdTePo4MI9dEavkY8ohGPD5iAWtaPzHS5-x4uwUg-vHGWNRa-OA&s
Luka Jovic;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3BxmfJ51IwVunqTEDxL6wEtOvJVAZUXOaqEZiu4JvEPSJpDim06tnmxW2V3k&s
Richarlison;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQinoATxgEFNGGSx6KtzYfGVw2Ofw_JbPHshDcremZFuHF9GGj4iNG4NZ2Nkhc&s
Marco Borriello;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4bjUB_DVuPiviRDBkkAu_pbeIFeWS2sNiSDHUq3DMlXZNHS0IwB9draQYxg&s
Marco Mancosu;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3fu-CYnFzws4zkHE9BuTDbkn1F-mGsxPWmlanUqmPMhCuoB_Mr7DfK3QjvA&s
Marco Reus;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSzbm0GaMg0OWwFmwJN_tO6H1UVWc7RNIeP4B_oIr75bufAou4pnAIrXyGoVs&s
Marcus Rashford;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsXcO6rkfoBtuiYqn8pRTTeTrwhuaeloCglVLCPSdnrIt6MxWHLmIyZgd-NrU&s
Marcus Thuram;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsZlOPK82Xcc_xVzaXiuFEJDyy56eBtNHn1o3-TkPIBk37nWqJsGDyjiGpTs8&s
Mario Gomez;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVJaqU4cdlYzy1x4PREvO6P2H4IYuMlD9qhOfhowarRytNCLjIkJq5JuWUZFE&s
Mario Mandzukic ;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVbkYpoqDW2_LVozdxWv13tgiKiLUXnaJAdG6P1raD5BhEwhY1mBOrs8m2zw&s
Mark Uth;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqRqRJFDxq0qgGdFPktD16NkSdj7bCcZ6j4B4SggYs1QGLsSrpKOBp_N6rCLc&s
Mauro Icardi;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0_2_buWFrsHuzhQjqULcvBP603q-rYY4-eXd1NQ04aVeyYXbQV4fOksgMGNg&s
Mauro Icardi;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRwpoaty4KxDf6WSxfo-RG6zddC9w-uoaFFQNIbHt6Phsj1Enm28LZoMBO7w&s
Max Gradel;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFDMrbdP-sY298QIzj4lMdWKWPaWB1kxl_R2P1y0VGsnZ1I6mOeOU1u0GCQLI&s
Max Kruse;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsBN8ZPd9lW6PFSVMB4gBOdKKY24OKyLVOnU56lFsOE6VGc-k3OnKHoo2MNQ&s
Maxi Gomez;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI24TvZd8F136kof94_1GAy1o1wnsTXZFPocG6bPgnWlH8pX_tegSJozwqHVg&s
Maximilian Philipp;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQARgpI-qZrQjMEetA0y7PUvV7UKpDz1-w9yr0BLwkWRs6r50yr4qWRoVJYXQ&s
M'Baye Niang;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV8xfCcGTnwZDmsz5i3zIf2vFaurfDTY6W69SfcpTrY2gbiZ9QG9ZDhrVRmIo&s
Memphis Depay;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-_5Xn9C9BzSJ9iAj9-_8JneEQzkOgxM39W0l5rzAOYtt7qMlRGIj0KUvILQ&s
Michael Gregoritsch;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-2g8T8wa8tdwZqZwBUMZwqxCXcrAEZX22VslPGQ_xeTbL3-a9DZ9v-oK4tp8&s
Michail Antonio;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMXFwQIJugh4nOHvTsmGYHnWObSL3SswVGelQybC1MZrN9mB3lB-3aFyxnpZA&s
Mikel Oyarzabal;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAXPO4fbV8GDZmuMC3Qkk-5OpaqmRNljgrIIIVThzafUDwy0LI-pp5eGu9ktg&s
Mirco Antenucci;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRp-DNzsX-uOBz7wLNtWtM1q-7fauoeF6JMuNq2DgQqTy1zbe_P7j2rqwV7Cg&s
Mohamed Salah;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_W8hKcX27jUrKG5MfBJuh5qdKIWhK0Yo4keUvPtLomsQ0YYymtQzgATKkkw&s
Glenn Murray;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx_5YuqXsBYtWNHQzMx1WoHIBK8mzdpjUlSeACJCoPX0bQ5ndFzE4Kvwa8_fk&s
Morales;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPJUrehczvCtntj4R5JsgzyQuWzRbA7wGeh-SUzC1H1t5xZlJJ6WBP458OqO4&s
Morata;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn_wJLK_q9igB4jYW3UaOEdIlyA3IILT2kjXPLS0p4l4Yx755jPKxOCkk72g&s
Moussa Dembele;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPWKj5oCmPIHvYWPc_-0DdjwG5SC9uYiptEsLCfgyUZOr4jLAN7zZyNnlDMSE&s
Munir;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd09MV34EBTnXjSO8D9ugdlfdPW1rkvALgzJ1Q6RJq9K3RsB6IJF0DZwu2ZS4&s
Neymar;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSyAAVz9hrm1LA_08eFWG0WUDWcZMLTLpMB_tnsQILIoUnoDCgKXMd8FVPB5I&s
Neymar;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYd-1O5jsq1iFUm7Za29h49x0WM2YHzHBfP_wyvVSnm4nrTJST1Uhh1xBSzg&s
Niclas Fullkrug;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV82Oj7dqPyo8eiZC3_bvELPZBMfWsSX4tnUPKaCPUdZVOgFAQjhHIemUY7g0&s
Nicolas Pepe;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXEnU5jEEMlV5Q96D6keQvorlgWFj1Q_XqvHnL37QePm_xAx3pGBZoBrhSOg&s
Nikola Kalinic;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh5BHmTSCmdL_FtASjkl3WGfOzZTllqcg_4IqehY-OGfDrtvU5Si9E0wb97ns&s
Nils Petersen;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaz5eiW4R1I_o-AYJWX0iM8Zm0t6uCCaURy7D9mzVG_TJtkg5euhyB5Z6UYmE&s
Olivier Giroud;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdUW-FH5jwzy8lU8zBoEdq5x2naw4unQzNYiNukS8Be-NQdyBlRAYJBAi-UH4&s
Ondrej Duda;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl8jH4lyCuDKnLMcNuz0dmHyrm7NJleN7kxs6MgSHqWKpiTfB7XdBSFHZDNk8&s
Pablo Sarabia;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsjcfZ_IqWAFPCAAUbuWDMXNYPo7WmhTaddCszW07vjkddN-htkFiiC5F7GVY&s
Paco Alcacer;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSifP5LT27i2see0j4DLNNUkxqqEOVTJ7dQgRq97BtTXdVjGoljIKpsJHJL_Q&s
Patrick Bamford;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU6Xr7gHn2DpAVt282PIHIOkDSNIJ4V0Mx0oYLl6dXRxXvUZ2EJkn1hSdBJoI&s
Gylfi Sigurdsson;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXgKeq4TSHwH1xzm1_6Y2FSPmz5y4RdC5l6oViowjxKjMWvE8kKS-a38LL9u4&s
Paulo Dybala;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb58erqJpyE96PCs8-_230TSc0fucR1MM-5CPjxjGwmqu-wQpG59a2iqczDA&s
Pedro ;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZN9Mofy42HbBSaJFumno5hpqVpcCjK4G3QAvAFndSdKGVEJ6vsiPCx-l4YA&s
Philippe Coutinho;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI1LmZCwyIdi_rvnCh6t5IHv9g9VxFYJQuBukthyQr8FTWLhmRtJ6xv9ChKw&s
Pierre-Emerick Aubameyang;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7TiNoPPHwDaADC0Q6HCS8IxftAyGUAfX5oo0WaapcOz8EqHb2NXuytRs9hA&s
Paul Pogba;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyyR14TiF-WXHj8z_CUH-h7cMiNZzEy9-06g_Sqi4hg27IU0E1Wu9Sic5ebA&s
Portu;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQriGkspH3ZXl6OMOAP35LwRC-neHJV507R1E8eG_soVrJrPJGGafwJxAPtjQ&s
Raul Jimenez;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM9MCJPwQ-l1eKYcdNVlldBTZpl1LB64KNv_oEmfmptgbgdlXJ8wsZuZG_Pw&s
Raul de Tomas;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHzS50ivIAgB_4ibKCrS6qL1ZGBpYf4w17_kS1I22WGvJBgUBgXUsRI6MIpBA&s
Raul Garcla;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTg7ZApgIklWZ5i5A_D3QFVMYK6sZP9KFnGs9i7589XS58QdMVy4DpRVapA1A&s
Ashley Barnes;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiVnD39s-M58y5B0_dP9MJu_u_Kfiak-m-TMwA6aORIln_yVthFwrVRn9hOQ&s
Remi Oudin;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLS_CbvDfpF4EQUf4gifdsZb0qSDO9_ebkou44rwN_KvkJijPPPv5_EaN6BQY&s
Ayoze Perez;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKBKpS-AUeSMhXHFMEvIxm4jqK5iAQFyDroEZFWP9GsYZqpx18SuWiK-E3_w&s
Riyad Mahrez;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4G17ysL_88iiyIsBuEYXnti_sST1vILB_dJv1RUxWrGGQCmnq2Zw-3Kwx9c4&s
Robert Lewandowski;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfyWT00RX4ttWdt-9AQ2L-qBatAKMVmwLHtfLId0jA1OwlMospdXQ4R2UOMRQ&s
Roberto Firmino;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDHsxGWCjgEXdSk0G-obl7y1wBti4r7xh9xjPFrjUhVue9UBMtw3gsVS_Ea9Y&s
Roberto Inglese;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWqpIpbbZxsHCJ6HuQw6iSqtG6oN4thhQZYu-QgrdNEjBXdpcXoXguoqWEoQ&s
Robin Quaison;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNXGzgaNAgK2VC4hNXBcOD3Ttmdx8HUj62OS-GAHpGsBFWD8cJz73mZJxA6w&s
Rodrigo;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzcnENQgB1JfSjiWzkiyiVgIRaJpUqMxXEYmIG4FdOt4aTqPjY9liS8OfsYg&s
Roger;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHJWsoOg3qrtpKQVGKmM5AWzPvG5W6qdl9ozReau9thqnp9Rs4IiMBpd0nfe0&s
Romelu Lukaku;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVB_eJwFwtWpHZpsQ8VedISf6Q_LzKTQ3uJuhXTNK46sitTN2O8pikzYJoUs4&s
Romelu Lukaku;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvmbZqiNUI4tVxBIcPZUS6BWtyJNAHZ2U2UttDoveCnbYXGVf9FwrZ3hzHhg&s
Rouwen Hennings;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4Mfbk8ClmEhrVq4WB5pP0_nnL4Xui1RdjqxGR9JkQYN9-ur87AJ3BPZ42nA&s
Ruben Castro;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_fTOOyw06RS2gz9cmmrtaeoTgj0Y7vE5QsLnjQbBAsUd-ARlz4S8iV_GXOjU&s
Salomon Kalou;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6ONsna8Naa8Fo39rTeCMXtwJZjlFRhtRWVCWdmgTjLUFsNEfBg4B-xddpjxk&s
Sandro Ramlrez;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3u1JdPtsOL3kOlkK4L_nESECiy-9ztfptZU_sCTA2NFQw7UKxKn1DZ_4yGQ&s
Sandro Wagner;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsQ_od1i0Wiq9rs9mggmX-FETII2SVlC_ew09oMpMf0I6NAArGNeTe0XcsDg&s
Santi Cazorla;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI2423eER_tXCkju4NPJoQgiW8OuNCVZjNJmyNoX7uIbTRhcN5_rjOqB1ba9s&s
Santi Mina;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTlYv8TSciuLVG9tWVIJU8MgCP9hBnzRG_LnZGQJ__9oIb9-WN7KmufbA4_w8&s
Sebastian Andersson;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS_m-mWpG3nekQeu6zkvTrQtOJnxHg1aaAaAL42aENmiI5UQ9LGva33NJObw&s
Sebastien Haller;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLN6BaafTt2xBI7Annw8THyNDK7dtJ91FvQ4X5_obR7RROMGBpf1fJ_ODgEGE&s
Sehrou Guirassy;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG4yuf5qtT8IEBnMNXXPtaohLFZDpaQP1RQ49XA7f13X4Pj9SeNINEDG-zA-U&s
Serge Gnabry;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMYs3cP_c8pQ6LBv3Aw7DyASwsBCPm--IfKylB_E98PLEdCKMB75aNndyMXw&s
Sergej Milinkovic-Savic;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjOFNjByBTXPxi-t_E5QC6myFMfWXQsCHSM6Oq3OS3GHfjsSEMkYGPHqq7uw&s
Sergi Enrich;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl6w-Q2p8cC1YLidGDBOT5NqpcJ9Vpx-WPJRpUh0tMdFnMniw53yWV5h5UfwU&s
Luka Milivojevic;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRScghM79kR5CAKLpqqUJ13ma6nFs7WSYhLcC71EBsD-QDExeU6dcmJKS6xlgQ&s
Sergio Leon;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbaMnoJjxNjxaq6o9kLnvQ4u4x5tHgYWHqA2aZ7kaQen3qz1UPOAJl3ddDNw&s
Sergio Ramos;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZtjkC2DiKI2ubnPmZSaHnEFA9VWaNdsJ5dqMXseQQLO6yir0giKDJ3eS30Ls&s
Simone Zaza;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAwkb5N05kWPZBWEKsCGoUIgVKyi1Z6WfVi6ZUhQoJAc72WI3ki6jk_l_X4g&s
Son Heung-Min;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkUvXZXFR7cemaMurzoTFJiviWaNXYbkBE2sGTD1sRraPxamJzw_tY2Q_tkhM&s
Stephan El Shaarawy;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUqFZw4GLIbY0kGMpm9dwPlVuXqjfFMZosPKlEuZsPJK-Fsh0kuVLoWB6NSRo&s
Stephane Bahoken;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgLQiosAQ6gJ5zHITcw54uyjfaucLJXMfDn3s1z9rTisKzClvC5DOHqmw45A&s
Tammy Abraham;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbRAqb89tCNAhZmHUwOeQ31CXvcvL2zG70LWQMzmtdXsPnWFasbpXUQdljXXI&s
Teemu Pukki;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlOrsAs3WsR7uFzPQvq3JEEG14j8YkN55uDFg2t337EE5LBqiL3n78Cdi6KIo&s
Thorgan Hazard;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjrKCak6gSMNloqaAZ0uzNrHkK5OqFVxK4O_18236BvX1BKNouJ0pnDSM3Emw&s
Timo Werner;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrvBoESUTnPyJtrtR85R8WTF6XKKmBGuwizIQYwmvWp0HyCvAKGKJqW1Lt_Q&s
Timo Werner;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFRx_t5xNZTXwKWFAv3KvchH8_owjUz3W3BXFXEjH24LLO6Naez3frT_pEr-8&s
Vedad Ibisevic;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuIAyWGwoYjR6KGoprnpumeKRRJfg7oq4_RkEjGHf8n47YFjvTe50XIDHKGMs&s
Victor Osimhen;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHQGCImneOJFJ1j0aokCbWavYp_vxLfkC6vlDM2nQ-2LKJWAtschcIiR3V5w&s
Wahbi Khazri;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRudGwp8_z8NSYYiY5ydy42bb7nl75nDhtKOVXocrld-bruxC6kxFZUgMmkjSM&s
Willian Josa;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPaL_nX2kBE_rQVx1XlsXkWLHuihnfdJT4TBQu_P68-Zu67KNQDFdzG-xyH0Y&s
Willian Jose;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy0S82PyfCoh7FsAgVN8QlRar4-v8na3Z53xSx4rvnTIi4Fo8XLPCT1GqksA&s
Wissam Ben Yedder;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsJn_LMenfHbovsfuK7acIHXzICLMpO690fbLril-I9CMTzES_9kaVGAhZ4Q&s
Wissam Ben Yedder;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDg1lDiw3VINbczjTVOWGflO7gZthgs6WOBoK-Ipbuws9oO7cBB6agqR_i6Q&s
Wout Weghorst;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwYlgDBj5xZCH-wwD4y4pvy47uwY5XnHRIGheTlZyIo_eou5NrfCSSljBlYA&s
Yussuf Poulsen;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXXHop3OGvRiiElBL8r0Q5wBC0gMRxB6dom_tdhYS2vlSbF1wXnPEM_UkT_uU&s
Zlatan Ibrahimovic;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdaZAxzn9twfKsRIv3ifkkAbD8fKqcLRaZhOhKnsp170TqFYadQQO9gIe-KXM&s
